compound_id,base_rdkit_smiles,DILIst_Classification,cellcount_active,GSH_active,mitostruct_active,MMP_active,nucarea_active,nucmask_active,ROS_active
CID6918493,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID41867,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
CID644073,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CID216239,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0
CID82146,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4754,CCOc1ccc(NC(C)=O)cc1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0
CID5573,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CID6230,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0
CID446987,C[C@@H]1O[C@@H]1P(=O)(O)O,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID4594,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID9854073,CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID54677972,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID2733,O=c1[nH]c2cc(Cl)ccc2o1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CID131204,CC(C)(CO)C(O)C(=O)NCCCO,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID45266800,CC1(C)SC(C(NC(=O)Cc2ccccc2)C(=O)NCCCCCC(=O)O)NC1C(=O)O,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID442004,C=C1[C@H](O)[C@@]23CC[C@@H]4[C@H](C(=O)O)C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]5OC(=O)CC(C)C)C[C@@]4(C)[C@@H]2CC[C@@H]1C3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID3037209,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID1983,CC(=O)Nc1ccc(O)cc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
